Sample	Title	Tissue	Ecotype	Genotype	Treatment	Project	TotalReads	UniqelyMappedRate	Unnamed: 9
GSM2181701	mRNA_Col_RiobosomeMBP_1	seedlings	Col-0	wild type	--	PRJNA323731	3884359	0.9108	
GSM2209709	WT_10DAG_1	seedlings	Col-0	Wild Type	--	PRJNA326392	14578745	0.9681	
GSM2209711	a_10DAG_1	seedlings	Col-0	atbmi1a single mutant	--	PRJNA326392	14982986	0.9638	
GSM2209713	b_10DAG_1	seedlings	Col-0	atbmi1b single mutant	--	PRJNA326392	15714678	0.9669	
GSM2209715	ab_strong_10DAG_1	seedlings	Col-0	atbmi1ab strong double mutant	--	PRJNA326392	14885215	0.9545	
GSM2209717	abc_10DAG_1	seedlings	Col-0	atbmi1abc triple mutant	--	PRJNA326392	14832480	0.9629	
GSM2209777	Col shoot 4 hour air RNAseq, rep1	shoot	Col-0	wild type	--	PRJNA326409	20913057	0.8495	
GSM2209779	Col shoot 4 hour ethylene RNAseq, rep1	shoot	Col-0	wild type	--	PRJNA326409	13934056	0.8317	
GSM2209781	cbp20 shoot 4 hour air RNAseq, rep1	shoot	Col-0	cbp20 mutant	--	PRJNA326409	31212958	0.8712	
GSM2209783	cbp20 shoot 4 hour ethylene RNAseq, rep1	shoot	Col-0	cbp20 mutant	--	PRJNA326409	19497113	0.8316	
GSM2209785	Col root 4 hour air RNAseq, rep1	root	Col-0	wild type	Mock	PRJNA326409	16483740	0.8569	
GSM2209787	Col root 4 hour ethylene RNAseq, rep1	root	Col-0	wild type	ethylene 4h	PRJNA326409	22709383	0.8805	
GSM2209789	cbp20 root 4 hour air RNAseq, rep1	root	Col-0	cbp20 mutant	--	PRJNA326409	23931562	0.8953	
GSM2209791	cbp20 root 4 hour ethylene RNAseq, rep1	root	Col-0	cbp20 mutant	--	PRJNA326409	17144977	0.8866	
GSM2242708	Wild type Columbia rep1	seedlings	Col-0	wild type	--	PRJNA330620	33759388	0.928	
GSM2242711	hos1-3 rep1	seedlings	Col-0	hos1-3	--	PRJNA330620	23165220	0.9282	
GSM2253889	WT_rep1	inflorescence	Col-0	wild type	--	PRJNA310776	36145833	0.8176	
GSM2253890	rdr6_rep1	inflorescence	Col-0	rdr6 mutant	--	PRJNA310776	36705975	0.8096	
GSM2253891	ago7_rep1	inflorescence	Col-0	ago7 mutant	--	PRJNA310776	38079401	0.8072	
GSM2257303	mock wild type replicate 1	leaves	Col-0	wild type	Mock	PRJNA336058	46406351	0.857	
GSM2257306	TCV infected wild type replicate 1	leaves	Col-0	wild type	TCV inHected	PRJNA336058	41138966	0.8725	
GSM2257309	mock mutant replicate 1	leaves	Col-0	DCL1 homozygous mutant	--	PRJNA336058	42433644	0.8487	
GSM2257312	TCV infected mutant replicate 1	leaves	Col-0	DCL1 homozygous mutant	--	PRJNA336058	49910739	0.8411	
GSM2274605	AtWT_WERGFP1	root hair	Col-0	wild type WER	--	PRJNA338767	12355142	0.8924	
GSM2280286	Heat stress rep1	leaves	Col-0	wild type	heat	PRJNA339001	26820309	0.9485	
GSM2280289	Non-stress rep1	leaves	Col-0	wild type	Mock	PRJNA339001	22042775	0.9488	
GSM2280292	Overexpressor HSFA1b-RFP Non-stress rep1	leaves	Col-0	wild type	Mock	PRJNA339001	21428335	0.9439	
GSM2280295	Overexpressor HSFA1b-RFP Heat stress rep1	leaves	Col-0	wild type	heat	PRJNA339001	14697740	0.9366	
GSM2283657	Col-0 rep1	leaves	Col-0	Col-0	--	PRJNA339285	23682191	0.9442	
GSM2286733	Col_D_1	seedlings	Col-0	wild type	Mock	PRJNA339647	75127778	0.9195	
GSM2286736	Col_Rc_1	seedlings	Col-0	wild type	Red light	PRJNA339647	60992214	0.9224	
GSM2286739	mut_D_1	seedlings	Col-0	sfps-2 (SFPS -/-)	Mock	PRJNA339647	66296788	0.8575	
GSM2286742	mut_Rc_1	seedlings	Col-0	sfps-2 (SFPS -/-)	Red light	PRJNA339647	70440268	0.8744	
GSM2297734	i4g1-1	seed	Col-0	i4g1	--	PRJNA340889	12465347	0.7669	
GSM2301212	wild type, end of day	leaves	Col-0	wild type	Mock	PRJNA341576	30869744	0.8653	
GSM2301215	bou T-DNA insertion line, end of day	leaves	Col-0	bou T-DNA insertion line	--	PRJNA341576	19661346	0.9138	
GSM2301224	wild type, end of night	leaves	Col-0	wild type	Photoperiod	PRJNA341576	22015981	0.9163	
GSM2301227	bou T-DNA insertion line, end of night	leaves	Col-0	bou T-DNA insertion line	--	PRJNA341576	26337580	0.9028	
GSM2303795	WT_mock_rep1	leaves	Col-0	wild type	Mock	PRJNA342005	40398770	0.9447	
GSM2303798	WT_AvrB_rep1	leaves	Col-0	wild type	PstAvrB	PRJNA342005	36852678	0.9464	
GSM2303801	GC_mock_rep1	leaves	Col-0	guanylate cyclase-expressing line	Mock	PRJNA342005	33407985	0.9403	
GSM2303804	GC_AvrB_rep1	leaves	Col-0	guanylate cyclase-expressing line	PstAvrB	PRJNA342005	36758280	0.9413	
GSM2327836	shm1_HC_01	leaves	Col-0	shm1-2, T-DNA insertion line	--	PRJNA344394	39062150	0.79	
GSM2327838	glyk1_HC_01	leaves	Col-0	glyk1-1, T-DNA insertion line	--	PRJNA344394	114586594	0.7235	
GSM2327840	pglp1_HC_01	leaves	Col-0	pglp1-1, T-DNA insertion line	--	PRJNA344394	11210286	0.7084	
GSM2327847	shm1_LC_01	leaves	Col-0	shm1-2, T-DNA insertion line	--	PRJNA344394	204869280	0.8664	
GSM2327849	glyk1_LC_01	leaves	Col-0	glyk1-1, T-DNA insertion line	--	PRJNA344394	90147193	0.7745	
GSM2332896	WT ZT12 rep1	aerial seedling	Col-0	wild type	--	PRJNA344964	26329289	0.9271	
GSM2332899	camta1/2/3/sid2 ZT12 rep1	aerial seedling	Col-0	camta1/2/3/sid2 mutant	--	PRJNA344964	25356995	0.9291	
GSM2339780	EYFP OE rosettes control-1	rosette leaf	Col-0	35spro	Mock	PRJNA347353	18058578	0.7643	
GSM2339784	IMA1 OE rosettes - Fe deficient-1	rosette leaf	Col-0	35spro	He deHicient	PRJNA347353	16374209	0.7063	
GSM2339943	WT rosettes control-1	rosette leaf	Col-0	wild type	Mock	PRJNA347360	11014161	0.8762	
GSM2339946	WT rosettes Fe deficient-1	rosette leaf	Col-0	wild type	He deHicient	PRJNA347360	11638253	0.8795	
GSM2339949	WT roots control-1	root	Col-0	wild type	Mock	PRJNA347360	17485920	0.7639	
GSM2339952	WT roots Fe deficient-1	root	Col-0	wild type	He deHicient	PRJNA347360	8111485	0.7561	
GSM2367133	WT_7DAG_1	seedlings	Col-0	Wild Type	--	PRJNA351872	57837872	0.9155	
GSM2367135	abc_7DAG_1	seedlings	Col-0	atbmi1abc triple mutant	--	PRJNA351872	54627448	0.9225	
GSM2371469	Col-0_WT_mRNA-Seq_rep1	seedlings	Col-0	wild type	--	PRJNA352201	16518523	0.8209	
GSM2371471	sac3b-7_mRNA-Seq_rep1	seedlings	Col-0	sac3b-7 (SALK 111245)	--	PRJNA352201	16581285	0.8247	
GSM2388457	Col rep1	seedlings	Col-0	wild type	--	PRJNA353122	58249639	0.8627	
GSM2388460	hdac rep1	seedlings	Col-0	hda9-1	--	PRJNA353122	52124331	0.8619	
GSM2388463	pwr rep1	seedlings	Col-0	pwr-2	--	PRJNA353122	51480957	0.8488	
GSM2391502	Col rep1	seedlings	Col-0	wild type	--	PRJNA353593	16083528	0.8882	
GSM2391505	nf-ycQ rep1	seedlings	Col-0	T-DNA knockout mutant of nf-ycQ	--	PRJNA353593	15873138	0.8697	
GSM2395423	Col-1	seed	Col-0	wild type	--	PRJNA354330	14473238	0.8826	
GSM2395426	abi5-1	seed	Col-0	ABI5-/-	--	PRJNA354330	15072116	0.8195	
GSM2397037	MgCl2_rep1	seedlings	Col-0	Col-0	Mock	PRJNA354373	2486355	0.919	
GSM2397038	DC3000_rep1	seedlings	Col-0	Col-0	DC3000 (EV)	PRJNA354373	5203272	0.9205	
GSM2397039	DC3000 cor- EV_rep1	seedlings	Col-0	Col-0	Pto DC3000 cor- (EV)	PRJNA354373	4463370	0.9174	
GSM2397040	DC3000 BB1_rep1	seedlings	Col-0	Col-0	Pto DC3000 cor- (HopBB1)	PRJNA354373	2381961	0.9284	
GSM2397041	DC3000 mBB1_rep1	seedlings	Col-0	Col-0	Pto DC3000 cor- (HopBB1G126D)	PRJNA354373	4416083	0.9216	
GSM2397301	Col-0_mock_rep1	seedlings	Col-0	Col-0	MgCl2	PRJNA354370	5636869	0.9178	
GSM2397302	tcp14-6_mock_rep1	seedlings	Col-0	tcp14-6	MgCl2	PRJNA354370	3558829	0.9132	
GSM2397303	UBQ10::YFP-TCP14-3_mock_rep1	seedlings	Col-0	UBQ10	MgCl2	PRJNA354370	5388443	0.9138	
GSM2397304	coi1-16_mock_rep1	seedlings	Col-0	coi1-16	MgCl2	PRJNA354370	5177431	0.9162	
GSM2397305	Col-0_DC3000cor-_rep1	seedlings	Col-0	Col-0	DC3000 cor-	PRJNA354370	3812438	0.922	
GSM2397308	coi1-16_DC3000cor-_rep1	seedlings	Col-0	coi1-16	DC3000 cor-	PRJNA354370	5684785	0.92	
GSM2397325	MeJA_1h_rep1	seedlings	Col-0	--	MeJA 1h	PRJNA354369	18480998	0.7994	
GSM2397343	35S::HopBB1_rep1	seedlings	Col-0	35S::HopBB1-myc	--	PRJNA354368	8882549	0.9113	
GSM2397346	Col-0_rep1	seedlings	Col-0	Wild type	--	PRJNA354368	8419349	0.9115	
GSM2397400	Col-0 rep1	seedlings	Col-0	Wild type	--	PRJNA354408	2334572	0.9179	
GSM2397401	tcp14-6_rep1	seedlings	Col-0	tcp14-6	--	PRJNA354408	2378347	0.9178	
GSM2397402	tcp14-7_rep1	seedlings	Col-0	tcp14-7	--	PRJNA354408	1913984	0.9138	
GSM2429865	K36M-mRNA-Rep-1	leaves	Col-0	K36M	--	PRJNA357598	12654326	0.8853	
GSM2433475	11	leaves	Col-0	--	2h induced	PRJNA358157	12094670	0.9497	
GSM2433478	17	leaves	Col-0	--	Mock	PRJNA358157	9903492	0.9457	
GSM2433481	31	leaves	Col-0	--	4h induced	PRJNA358157	12561824	0.9488	
GSM2435563	Rps4_camta3D_1	leaves	Col-0	camta3-D (sr1-4d)	AvrRps4	PRJNA358395	21785343	0.8924	
GSM2453035	WT_control1	leaves	Col-0	wild type	Mock	PRJNA360931	32156324	0.8992	
GSM2453038	WT_dehydration1	leaves	Col-0	wild type	dehydration 4h	PRJNA360931	32128918	0.8979	
GSM2453041	WT_starvation1	leaves	Col-0	wild type	Hixed carbon starvation 5 day	PRJNA360931	32401501	0.9138	
GSM2454694	WT_0hr_rep1	seedlings	Col-0	Wild type	Mock	PRJNA361118	53949349	0.9077	
GSM2454697	WT_1hr_rep1	seedlings	Col-0	Wild type	elH18-treated 1h	PRJNA361118	57649339	0.9039	
GSM2454700	WT_6hr_rep1	seedlings	Col-0	Wild type	elH18-treated 6h	PRJNA361118	58940658	0.8658	
GSM2454703	WT_12hr_rep1	seedlings	Col-0	Wild type	elH18-treated 12h	PRJNA361118	48133521	0.9108	
GSM2454706	OX_0hr_rep1	seedlings	Col-0	ELENA1 over-expressing plants	Without elH18 treatment	PRJNA361118	56624335	0.9049	
GSM2454709	OX_1hr_rep1	seedlings	Col-0	ELENA1 over-expressing plants	elH18-treated 1h	PRJNA361118	60584740	0.8916	
GSM2454712	OX_6hr_rep1	seedlings	Col-0	ELENA1 over-expressing plants	elH18-treated 6h	PRJNA361118	55068096	0.9077	
GSM2454715	OX_12hr_rep1	seedlings	Col-0	ELENA1 over-expressing plants	elH18-treated 12h	PRJNA361118	54603032	0.9066	
GSM2455322	TruSeq Col-0 Rep1	inflorescence	Col-0	wild type	--	PRJNA361224	67039683	0.702	
GSM2465998	WT control rep1	leaves	Col-0	wild type	Mock	PRJNA362994	7943088	0.8793	
GSM2466000	ZAT18 OE control rep1	leaves	Col-0	ZAT18 overexpression lines	Mock	PRJNA362994	7807169	0.885	
GSM2466002	WT drought rep1	leaves	Col-0	wild type	drought	PRJNA362994	7976843	0.8887	
GSM2466004	ZAT18 OE drought rep1	leaves	Col-0	ZAT18 overexpression lines	drought	PRJNA362994	7936403	0.8806	
GSM2467110	WT RL0h rep1	rosette leaf	Col-0	wild type	Mock	PRJNA363056	13848581	0.9472	
GSM2467113	WT RL3h rep1	rosette leaf	Col-0	wild type	heat 3h	PRJNA363056	12281054	0.9456	
GSM2467116	WT EF0h rep1	flower bud	Col-0	wild type	Mock	PRJNA363056	14365894	0.947	
GSM2467122	WT LF0h rep1	flower bud	Col-0	wild type	Mock	PRJNA363056	8806046	0.9338	
GSM2467125	WT LF3h rep1	flower bud	Col-0	wild type	heat 3h	PRJNA363056	13826870	0.9351	
GSM2467134	bzip28bzip60 EF0h rep1	flower bud	Col-0	bzip28 bzip60	control	PRJNA363056	18914748	0.8433	
GSM2467140	bzip28bzip60 LF0h rep1	flower bud	Col-0	bzip28 bzip60	control	PRJNA363056	18501943	0.7594	
GSM2467143	bzip28bzip60 LF3h rep1	flower bud	Col-0	bzip28 bzip60	treated at 37C Hor 3h	PRJNA363056	18089201	0.7807	
GSM2472796	dex2	inflorescence	Col-0	dex	dex	PRJNA369327	30823170	0.799	
GSM2474314	RNA-seq_Light Grown	cultured  cell	Col-0	--	Mock	PRJNA369530	23088109	0.7217	
GSM2474318	RNA-seq_Dark Grown	cultured  cell	Col-0	--	Dark	PRJNA369530	19404318	0.721	
GSM2537709	parent 1	rosette leaf	Col-0	wild type	--	PRJNA379315	10325026	0.724	
GSM2537712	ceh 1	rosette leaf	Col-0	ceh1	--	PRJNA379315	26806483	0.7017	
GSM2537715	eds 1	rosette leaf	Col-0	eds16	--	PRJNA379315	12506143	0.7232	
GSM2537718	ceh/eds 1	rosette leaf	Col-0	ceh1/eds16	--	PRJNA379315	11461956	0.7557	
GSM2544983	Col-0 rep1	seed	Col-0	wild type	HR(Dark) conditions	PRJNA379933	18414366	0.7763	
GSM2544986	hda15-1 rep1	seed	Col-0	hda15-1	HR(Dark) conditions	PRJNA379933	19285055	0.8884	
GSM2546366	WT_replicate1	root tip	Col-0	Wild type	--	PRJNA380206	35915622	0.9389	
GSM2546368	SCL28-OX_replicate1	root tip	Col-0	SCL28-OX #10	--	PRJNA380206	30660623	0.9366	
GSM2553046	WT_1	root tip	Col-0	wild type	--	PRJNA380890	4413347	0.824	
GSM2564766	Mock_bdl_1	internode	Col-0	35S::Myc-GR-bdl	Mock	PRJNA381799	38923050	0.9029	
GSM2564769	DEX_bdl_1	internode	Col-0	35S::Myc-GR-bdl	DEX	PRJNA381799	46393380	0.9188	
GSM2564786	Mock_MP_1	internode	Col-0	PXY:GR-MP¦¤III/IV	Mock	PRJNA381808	31842771	0.8359	
GSM2564789	DEX_MP_1	internode	Col-0	PXY:GR-MP¦¤III/IV	DEX	PRJNA381808	30472195	0.8757	
GSM2574869	Col_1_1	leaves	Col-0	Col-0	--	PRJNA382583	18409752	0.9027	
GSM2574872	Col_2_1	leaves	Col-0	Col-0	--	PRJNA382583	16357885	0.9095	
GSM2593276	Col-0_1	whole plant	Col-0	wild type	--	PRJNA384979	27870565	0.8755	
GSM2593279	jazQ_1	whole plant	Col-0	jazQ	--	PRJNA384979	19249905	0.881	
GSM2593282	mycT_1	whole plant	Col-0	mycT	--	PRJNA384979	24265145	0.7728	
GSM2593285	jazQmycT_1	whole plant	Col-0	jazQ mycT	--	PRJNA384979	26938645	0.7044	
GSM2607985	aipp1-1_mRNA-Seq_rep1	seedlings	Col-0	aipp1-1	--	PRJNA385813	15023335	0.9106	
GSM2607987	asi1-2_mRNA-Seq_rep1	seedlings	Col-0	aip1-2	--	PRJNA385813	19180145	0.9303	
GSM2607989	Col-0_mRNA-Seq_rep1	seedlings	Col-0	wild type	--	PRJNA385813	17776631	0.9262	
GSM2607991	edm2-4_mRNA-Seq_rep1	seedlings	Col-0	edm2-4	--	PRJNA385813	19293296	0.9242	
GSM2611732	WT_seedlings_rep1	seedlings	Col-0	wild type	--	PRJNA386184	25470052	0.7129	
GSM2611735	luc7_seedlings_rep1	seedlings	Col-0	triple mutant (luc7 a-2, b-1, rl-1)	--	PRJNA386184	24819136	0.7078	
GSM2643667	Col-0 (wt) 24 hSL replicate 1	seed	Col-0	wild type	--	PRJNA388407	22370702	0.9054	
GSM2643669	athb15 24 hSL replicate 1	seed	Col-0	athb15	--	PRJNA388407	20497130	0.9102	
GSM2643671	athb25 24 hSL replicate 1	seed	Col-0	athb25	--	PRJNA388407	29330869	0.9108	
GSM2643673	hat2 24 hSL replicate 1	seed	Col-0	hat2	--	PRJNA388407	34544294	0.912	
GSM2643675	lmi1 24 hSL replicate 1	seed	Col-0	lmi1	--	PRJNA388407	34841244	0.9121	
GSM2643677	obp1 24 hSL replicate 1	seed	Col-0	obp1	--	PRJNA388407	31108935	0.9078	
GSM2643679	smb 24 hSL replicate 1	seed	Col-0	smb	--	PRJNA388407	19561605	0.9021	
GSM2643681	vnd2 24 hSL replicate 1	seed	Col-0	vnd2	--	PRJNA388407	29620597	0.9092	
GSM2643683	wrky14 24 hSL replicate 1	seed	Col-0	wrky14	--	PRJNA388407	35751963	0.9096	
GSM2683258	RNA-Seq on se-1 early globular embryos rep1	embryo	Col-0	se-1; serrate-1	--	PRJNA391826	20708775	0.8847	
GSM2683260	RNA-Seq on wild-type of 32-64 cell embryos rep1	embryo	Col-0	wild type	--	PRJNA391826	20751215	0.8428	
GSM2700471	RNA-seq_Col_rep1	seedlings	Col-0	wild type	--	PRJNA393891	36924560	0.914	
GSM2700473	RNA-seq_h3.1kd-1_rep1	seedlings	Col-0	h3.1kd-1	--	PRJNA393891	33789224	0.923	
GSM2700475	RNA-seq_h3.1kd-2_rep1	seedlings	Col-0	h3.1kd-2	--	PRJNA393891	32569479	0.9229	
GSM2704825	DMSO_6h_rep1	leaves	Col-0	--	DMSO	PRJNA394661	17294471	0.7138	
GSM2704828	ABA_6h_rep1	leaves	Col-0	--	ABA	PRJNA394661	29125926	0.7689	
GSM2704831	AMF1_6h_rep1	leaves	Col-0	--	AMH1	PRJNA394661	44111011	0.7434	
GSM2704837	DMSO_1d_rep1	leaves	Col-0	--	DMSO	PRJNA394661	19507979	0.7419	
GSM2704840	ABA_1d_rep1	leaves	Col-0	--	ABA	PRJNA394661	26557130	0.7502	
GSM2704852	AMF4_3d_rep1	leaves	Col-0	--	AMH4	PRJNA394661	18350744	0.7203	
GSM2735475	Col-0 ctrl rep1	rosette leaf	Col-0	Col-0	Mock	PRJNA397570	21497045	0.8905	
GSM2735478	Col-0 ozone rep1	rosette leaf	Col-0	Col-0	ozone 2h	PRJNA397570	27906929	0.8963	
GSM2981927	Col-0 WT	leaves	Col-0	wild type	--	PRJNA359478	24745701	0.7355	
GSM2981930	35S:TET1	leaves	Col-0	35S:TET1	--	PRJNA359478	21566162	0.8876	
GSM2981933	ibm1 rep1	leaves	Col-0	ibm1	--	PRJNA359478	23503826	0.8699	
GSM762070	col_0_seedling_tr1	seedlings	Col-0	--	--	PRJNA154687	5508716	0.7804	
GSM762078	col_0_seedling_br1	seedlings	Col-0	--	--	PRJNA154687	6541414	0.7701	
GSM797871	Col_Kyn_RNASeq_Rep#1	seedlings	Col-0	wild type	Kynurenine	PRJNA147389	16851910	0.7358	
GSM797873	wei8tar2_MS_RNASeq_Rep#1	seedlings	Col-0	wei8-/- tar2+/-	--	PRJNA147389	15500456	0.7461	
GSM800621	wild-type replicate 1	seedlings	Col-0	--	--	PRJNA147283	20136800	0.8856	
GSM847334	WT-Seedling-RNAseq-1	seedlings	Col-0	wild type	--	PRJNA151473	7390477	0.9115	
GSM847337	WT-Flower-RNAseq-1	flower	Col-0	wild type	--	PRJNA151473	9054068	0.916	
GSM865212	mRNA from Arabidopsis Col-0 Wild Type stage 15 flower receptacles 1	flower receptacles	Col-0	Wild Type	--	PRJNA151589	34197806	0.7922	
GSM865215	mRNA from Arabidopsis Col-0 hae-3 hsl2-3  stage 15 flower receptacles 1	flower receptacles	Col-0	hae-3 hsl2-3 mutant	--	PRJNA151589	32803831	0.7907	
GSM912634	Col-0 RNA-Seq replicate 1	seedlings	Col-0	wild type	--	PRJNA158647	13570839	0.8902	
GSM912636	bzr1-1D RNA-Seq replicate 1	seedlings	Col-0	bzr1-1D mutant	--	PRJNA158647	11216092	0.8812	
GSM912638	pifq RNA-Seq replicate 1	seedlings	Col-0	pifq (a quadruple mutant lacking PIF1, 3, 4, and 5)	--	PRJNA158647	10890270	0.8902	
GSM912640	pifq;bzr1-1D RNA-Seq replicate 1	seedlings	Col-0	pifq;bzr1-1D mutant	--	PRJNA158647	11896534	0.8798	
GSM951349	RVE8:GR_DEX_1	seedlings	Col-0	rve8-1 RVE8	dexamethasone	PRJNA169134	22812528	0.8815	
GSM951352	RVE8:GR_mock_1	seedlings	Col-0	rve8-1 RVE8	mock	PRJNA169134	21228984	0.8776	
GSM951355	rve8_DEX_1	seedlings	Col-0	rve8-1	dexamethasone	PRJNA169134	19437255	0.8826	
GSM951358	rve8_mock_1	seedlings	Col-0	rve8-1	mock	PRJNA169134	17108834	0.8869	
GSM958257	WT-RNA-1	seedlings	Col-0	wild type	--	PRJNA170237	5064669	0.7681	
GSM958260	pif3-RNA-1	seedlings	Col-0	pif3	--	PRJNA170237	4118886	0.7617	
GSM958263	pif145-RNA-1	seedlings	Col-0	pif1pif4pif5 (pif145)	--	PRJNA170237	1069817	0.8625	
GSM958266	pifq-RNA-1	seedlings	Col-0	pif1pif3pif4pif5 (pifq)	--	PRJNA170237	3954343	0.7454	
GSM969663	MLA1 expressing plants challenged with Bgh A6 isolate at 6hpi, replicate 1	leaves	Col-0	pen2-1 pad4-1 sag101-2 mutant expressing MLA1-HA	--	PRJNA171012	48091464	0.7079	
GSM969666	MLA1 expressing plants challenged with Bgh K1 isolate at 6hpi, replicate 1	leaves	Col-0	pen2-1 pad4-1 sag101-2 mutant expressing MLA1-HA	--	PRJNA171012	90263755	0.8036	
GSM969678	MLA1 expressing plants challenged with Bgh A6 isolate at 24hpi, replicate 1	leaves	Col-0	pen2-1 pad4-1 sag101-2 mutant expressing MLA1-HA	--	PRJNA171012	35597987	0.7585	
GSM969684	MLA1 expressing plants challenged with Bgh K1 isolate at 24hpi, replicate 1	leaves	Col-0	pen2-1 pad4-1 sag101-2 mutant expressing MLA1-HA	--	PRJNA171012	32145002	0.7644	
GSM969702	The triple mutant (pen2 pad4 sag101) challenged with Bgh K1 isolate at 18hpi, replicate 1	leaves	Col-0	pen2-1 pad4-1 sag101-2 mutant	--	PRJNA171012	36566208	0.783	
GSM969705	The triple mutant (pen2 pad4 sag101) challenged with Bgh K1 isolate at 24hpi, replicate 1	leaves	Col-0	pen2-1 pad4-1 sag101-2 mutant	--	PRJNA171012	43898259	0.7776	
GSM969708	The triple mutant (pen2 pad4 sag101) challenged with Bgh A6 isolate at 24hpi, replicate 1	leaves	Col-0	pen2-1 pad4-1 sag101-2 mutant	--	PRJNA171012	27660332	0.7291	
GSM988487	35S:RPS4, T0, rep1	leaves	Col-0	35S:RPS4-HS	--	PRJNA173214	37384089	0.8704	
GSM988490	35S:RPS4, 4h, rep1	leaves	Col-0	35S:RPS4-HS	--	PRJNA173214	27139948	0.9089	
GSM988493	35S:RPS4, 8h, rep1	leaves	Col-0	35S:RPS4-HS	--	PRJNA173214	29042494	0.8764	
GSM988496	Col-0, T0, rep1	leaves	Col-0	wild type	Mock	PRJNA173214	31818102	0.9201	
GSM988499	Col-0, 4h, rep1	leaves	Col-0	wild type	shiHt Hrom 28¡ãC to 19¡ãC Hor 4h*	PRJNA173214	30972007	0.8796	
GSM988502	Col-0, 8h, rep1	leaves	Col-0	wild type	shiHt Hrom 28¡ãC to 19¡ãC Hor 8h*	PRJNA173214	30578524	0.9028	
SRX1034780	Arabidopsis thaliana shoot apical meristem at 10 day after germination	apical shoot meristem	Col-0	--	--	PRJNA268115	42225694	0.8253	
SRX1034786	Arabidopsis thaliana shoot apical meristem at 11 day after germination	apical shoot meristem	Col-0	--	--	PRJNA268115	55460120	0.843	
SRX1034787	Arabidopsis thaliana shoot apical meristem at 13 day after germination	apical shoot meristem	Col-0	--	--	PRJNA268115	45238276	0.8295	
SRX1057345	AtWtRootsD1	root	Col-0	wild type	Mock	PRJNA286779	9825441	0.9221	
SRX1057349	AtWtShootsBA1	shoot	Col-0	wild type	BA	PRJNA286779	11254693	0.9024	
SRX1057354	AtWtRootsBA1	root	Col-0	wild type	BA	PRJNA286779	8534278	0.9182	
SRX1058189	Arabidopsis thaliana (Col-0) glucose treatment replicate 1	root tip	Col-0	--	glucose	PRJNA286948	53347816	0.9314	
SRX1058190	Arabidopsis thaliana (agb1-2) glucose treatment replicate 1	root tip	Col-0	agb1-2	--	PRJNA286948	54347203	0.9276	
SRX1058195	Arabidopsis thaliana (Col-0) control treatment replicate 1	root tip	Col-0	--	Mock	PRJNA286948	61632650	0.9344	
SRX1058196	Arabidopsis thaliana (agb1-2) control treatment replicate 2	root tip	Col-0	agb1-2	--	PRJNA286948	54303603	0.93	
SRX1060138	Arabidopsis_whole_plant_1	whole plant	Col-0	--	--	PRJNA287059	9880442	0.7883	
SRX1068195	Arabidopsis thaliana shoot apical meristem at 9 day after germination	apical shoot meristem	Col-0	--	--	PRJNA268115	39417774	0.7647	
SRX1068202	Arabidopsis thaliana shoot apical meristem at 12 day after germination	apical shoot meristem	Col-0	--	--	PRJNA268115	49409102	0.8822	
SRX1080999	Digital Gene Expression Profiling Analysis of Wild Type and PevD1 Transgenic Arabidopsis	aerial seedling	Col-0	--	--	PRJNA288899	22627359	0.8242	
SRX1133307	RNA-seq of Columbia replicate 1	inflorescence	Col-0	wild type	--	PRJNA291954	8237530	0.9209	
SRX1133330	RNA-seq of dbr1-2 mutant replicate 1	inflorescence	Col-0	dbr1-2 mutant	--	PRJNA291954	8974207	0.9217	
SRX1150141	RNA-Seq of flowers from 28-day-old Arabidopsis thaliana ant ail6 double mutant: Sample AntAil6_Flowers	inflorescence	Col-0	ant ail6 double mutant	--	PRJNA292478	51287641	0.8299	
SRX1305340	5uM BHTC_shoot_rep1	shoot	Col-0	--	BHTC	PRJNA297270	51404149	0.8731	
SRX1305342	Mock_shoot_rep1	shoot	Col-0	--	Mock	PRJNA297270	49884248	0.8778	
SRX1337653	Timecourse: Shoot Apex from Arabidopsis LL52	shoot apex	Col-0	--	--	PRJNA297861	32230223	0.8372	
SRX1403719	X-ray irradiated atm mutant- rep 2	seedlings	Col-0	--	--	PRJNA298961	22391325	0.9504	
SRX1403721	X-ray irradiated WT- rep2	seedlings	Col-0	--	X-ray	PRJNA298961	29540468	0.9389	
SRX1403723	Un-treated atm mutant- Rep 2	seedlings	Col-0	--	--	PRJNA298961	23424097	0.9687	
SRX1403725	Un-treated plants- Rep 2	seedlings	Col-0	--	Mock	PRJNA298961	30863302	0.911	
SRX1411690	Bio. Rep. 2	leaves	Col-0	--	--	PRJNA301055	27537760	0.7073	
SRX1427112	Col_1	seedlings	Col-0	--	Mock	PRJNA301771	18759743	0.7036	
SRX1446033	pho1-es1	shoot	Col-0	--	--	PRJNA303157	13915258	0.8814	
SRX1446086	WT-es1	shoot	Col-0	--	--	PRJNA303157	13662124	0.916	
SRX1446121	pho2-es1	shoot	Col-0	--	--	PRJNA303157	13183046	0.9138	
SRX1446207	pho1-p1	shoot	Col-0	--	--	PRJNA303157	14677882	0.9216	
SRX1446235	WT-p1	shoot	Col-0	--	--	PRJNA303157	13905289	0.919	
SRX1446238	pho2-p1	shoot	Col-0	--	--	PRJNA303157	14590646	0.8733	
SRX145572	Col-0 ethylene 3-day replicate 1	seedlings	Col-0	wild type	ethylene	SRP012592	35411849	0.8565	
