Sample,Title,Tissue,Ecotype,Genotype,Treatment,Project,TotalReads,UniqelyMappedRate,
GSM1872387,Col c-2R,leaves,Col-0,--,Mock,PRJNA295091,13917492,0.889,
GSM1872388,Col c-3R,leaves,Col-0,--,Mock,PRJNA295091,13482798,0.8839,
GSM1872389,Col s-1R,leaves,Col-0,--,salt stress,PRJNA295091,13014763,0.8881,
GSM1872390,Col s-2R,leaves,Col-0,--,salt stress,PRJNA295091,12772945,0.8887,
GSM1872391,Col s-3R,leaves,Col-0,--,salt stress,PRJNA295091,13071736,0.8889,
GSM1872392,Col h-1R,leaves,Col-0,--,heat stress,PRJNA295091,16106659,0.8808,
GSM1872393,Col h-2R,leaves,Col-0,--,heat stress,PRJNA295091,13438926,0.8831,
GSM1872394,Col h-3R,leaves,Col-0,--,heat stress,PRJNA295091,13851984,0.8831,
GSM1872395,Col s+h-1R,leaves,Col-0,--,salt and heat stress,PRJNA295091,13678201,0.8831,
GSM1872396,Col s+h-2R,leaves,Col-0,--,salt and heat stress,PRJNA295091,15302645,0.8812,
GSM1872397,Col s+h-3R,leaves,Col-0,--,salt and heat stress,PRJNA295091,15830955,0.8846,
GSM1881675,KO rep 1 leaves,leaves,Col-0,pho1-4 knockout mutant,--,PRJNA295989,13821257,0.9041,
GSM1881676,KO rep 2 leaves,leaves,Col-0,pho1-4 knockout mutant,--,PRJNA295989,11097558,0.892,
GSM1881677,Compl rep 1 leaves,leaves,Col-0,pho1-4 complemented with PHO1 gene,--,PRJNA295989,17382335,0.885,
GSM1881678,Compl rep 2 leaves,leaves,Col-0,pho1-4 complemented with PHO1 gene,--,PRJNA295989,15416183,0.8991,
GSM1881679,EXS32 rep 1 leaves,leaves,Col-0,"pho1-4 mutant expressing EXS domain of PHO1, line 32",--,PRJNA295989,12679850,0.9019,
GSM1881680,EXS32 rep 2 leaves,leaves,Col-0,"pho1-4 mutant expressing EXS domain of PHO1, line 32",--,PRJNA295989,10675783,0.8867,
GSM1881681,EXS34 rep 1 leaves,leaves,Col-0,"pho1-4 mutant expressing EXS domain of PHO1, line 34",--,PRJNA295989,11445482,0.9049,
GSM1881682,EXS34 rep 2 leaves,leaves,Col-0,"pho1-4 mutant expressing EXS domain of PHO1, line 34",--,PRJNA295989,12569025,0.8938,
GSM1881683,KO rep 1 roots,root,Col-0,pho1-4 knockout mutant,--,PRJNA295989,36165866,0.8285,
GSM1881684,KO rep 2 roots,root,Col-0,pho1-4 knockout mutant,--,PRJNA295989,39142815,0.8442,
GSM1881685,Compl rep 1 roots,root,Col-0,pho1-4 complemented with PHO1 gene,--,PRJNA295989,25262267,0.837,
GSM1881686,Compl rep 2 roots,root,Col-0,pho1-4 complemented with PHO1 gene,--,PRJNA295989,27171233,0.8498,
GSM1881687,EXS32 rep 1 roots,root,Col-0,"pho1-4 mutant expressing EXS domain of PHO1, line 32",--,PRJNA295989,27345339,0.838,
GSM1881688,EXS32 rep 2 roots,root,Col-0,"pho1-4 mutant expressing EXS domain of PHO1, line 32",--,PRJNA295989,29970242,0.8515,
GSM1881689,EXS34 rep 1 roots,root,Col-0,"pho1-4 mutant expressing EXS domain of PHO1, line 34",--,PRJNA295989,28406683,0.8588,
GSM1881690,EXS34 rep 2 roots,root,Col-0,"pho1-4 mutant expressing EXS domain of PHO1, line 34",--,PRJNA295989,32091553,0.8367,
GSM1891776,"atbmi1a,b_RNAseq_rep2",aerial seedling,Col-0,"atbmi1a,b",--,PRJNA279505,43001228,0.9384,
GSM1891777,"atring1a,b_RNAseq_rep2",aerial seedling,Col-0,"atring1a,b",--,PRJNA279505,29689476,0.6712,
GSM1891778,clf_29_RNAseq_rep2,aerial seedling,Col-0,clf-29,--,PRJNA279505,29104107,0.6944,
GSM1891779,Col_RNAseq_rep2,aerial seedling,Col-0,wild type,--,PRJNA279505,30318243,0.6887,
GSM1891780,swn_RNAseq,aerial seedling,Col-0,swn,--,PRJNA279505,28726866,0.6953,
GSM1893687,WT-K1,seedlings,Col-0,wild type,Mock,PRJNA297107,26743183,0.7143,
GSM1893688,WT-K2,seedlings,Col-0,wild type,Mock,PRJNA297107,26589959,0.5839,
GSM1893689,WT-N1,seedlings,Col-0,wild type,KNO3,PRJNA297107,23344513,0.5914,
GSM1893690,WT-N2,seedlings,Col-0,wild type,KNO3,PRJNA297107,26973566,0.5263,
GSM1893691,icpk-N1,seedlings,Col-0,icpk mutant,KNO3,PRJNA297107,24717653,0.4907,
GSM1893692,icpk-N2,seedlings,Col-0,icpk mutant,KNO3,PRJNA297107,26178363,0.5873,
GSM1912474,mRNA-seq Col Rep1,leaves,Col-0,--,--,PRJNA299198,24671699,0.9476,
GSM1912475,mRNA-seq Col Rep2,leaves,Col-0,--,--,PRJNA299198,26670691,0.9376,
GSM1912476,mRNA-seq Ler Rep1,leaves,Landsberg erecta,--,--,PRJNA299198,22504722,0.9078,
GSM1912477,mRNA-seq Ler Rep2,leaves,Landsberg erecta,--,--,PRJNA299198,25820360,0.9096,
GSM1919310,meristems; sterile plants; growing; b1_ap3_sterile,shoot apex,Ler,Ler; ap3-1,--,PRJNA300223,21930736,0.5112,
GSM1919311,meristems; fertile plants; arrested; b1_Ler_arrested,shoot apex,Ler,Ler wild type,--,PRJNA300223,58482411,0.4735,
GSM1919312,meristems; fertile plants; growing; b1_Ler_growing,shoot apex,Ler,Ler wild type,--,PRJNA300223,30176394,0.515,
GSM1919313,meristems; fertile plants; fruits removed; b1_Ler_reactiv,shoot apex,Ler,Ler wild type,--,PRJNA300223,23209582,0.548,
GSM1919314,meristems; fertile plants; arrested; b2_arrested2,shoot apex,ms1-1,ms1-1 co-segregant,--,PRJNA300223,19631612,0.4385,
GSM1919315,meristems; fertile plants; growing; b2_growing2,shoot apex,ms1-1,ms1-1 co-segregant,--,PRJNA300223,2490809,0.5623,
GSM1919316,meristems; fertile plants; fruits removed; b2_reactiv,shoot apex,ms1-1,ms1-1 co-segregant,--,PRJNA300223,19461191,0.4975,
GSM1919317,meristems; sterile plants; growing; b2_sterile,shoot apex,ms1-1,ms1-1 homozygous,--,PRJNA300223,18194786,0.4337,
GSM1919318,meristems; sterile plants; arrested; b3_arrested2,shoot apex,ms1-1,ms1-1 co-segregant,--,PRJNA300223,17479951,0.4886,
GSM1919319,meristems; fertile plants; growing; b3_growing,shoot apex,ms1-1,ms1-1 co-segregant,--,PRJNA300223,13877545,0.3922,
GSM1919320,meristems; fertile plants; fruits removed; b3_reactiv,shoot apex,ms1-1,ms1-1 co-segregant,--,PRJNA300223,17727817,0.4347,
GSM1919321,meristems; sterile plants; growing; b3_sterile,shoot apex,ms1-1,ms1-1 homozygous,--,PRJNA300223,12907794,0.3819,
GSM1921010,YFP-NEG BioRep1.TechRep1,inflorescence,Col-0,ap1; cal; pAP1::AP1:GR,--,PRJNA300452,9707895,0.7052,
GSM1921011,YFP-NEG BioRep1.TechRep2,inflorescence,Col-0,ap1; cal; pAP1::AP1:GR,--,PRJNA300452,12262044,0.7041,
GSM1921012,YFP-NEG BioRep2.TechRep1,inflorescence,Col-0,ap1; cal; pAP1::AP1:GR,--,PRJNA300452,9763522,0.6604,
GSM1921013,YFP-NEG BioRep2.TechRep2,inflorescence,Col-0,ap1; cal; pAP1::AP1:GR,--,PRJNA300452,12308170,0.6617,
GSM1921014,YFP-NEG BioRep3.TechRep1,inflorescence,Col-0,ap1; cal; pAP1::AP1:GR,--,PRJNA300452,9784062,0.7311,
GSM1921015,YFP-NEG BioRep3.TechRep2,inflorescence,Col-0,ap1; cal; pAP1::AP1:GR,--,PRJNA300452,12263907,0.732,
GSM1921016,YFP-NEG BioRep4.TechRep1,inflorescence,Col-0,ap1; cal; pAP1::AP1:GR,--,PRJNA300452,8412806,0.7183,
GSM1921017,YFP-NEG BioRep4.TechRep2,inflorescence,Col-0,ap1; cal; pAP1::AP1:GR,--,PRJNA300452,10615392,0.716,
GSM1921018,YFP-POS BioRep1.TechRep1,gynoecium,Col-0,ap1; cal; pAP1::AP1:GR,--,PRJNA300452,11354206,0.7505,
GSM1921019,YFP-POS BioRep1.TechRep2,gynoecium,Col-0,ap1; cal; pAP1::AP1:GR,--,PRJNA300452,14312360,0.7535,
GSM1921020,YFP-POS BioRep2.TechRep1,gynoecium,Col-0,ap1; cal; pAP1::AP1:GR,--,PRJNA300452,8289906,0.7474,
GSM1921021,YFP-POS BioRep2.TechRep2,gynoecium,Col-0,ap1; cal; pAP1::AP1:GR,--,PRJNA300452,10427081,0.7459,
GSM1921022,YFP-POS BioRep3.TechRep1,gynoecium,Col-0,ap1; cal; pAP1::AP1:GR,--,PRJNA300452,9655665,0.7864,
GSM1921023,YFP-POS BioRep3.TechRep2,gynoecium,Col-0,ap1; cal; pAP1::AP1:GR,--,PRJNA300452,12164805,0.7872,
GSM1921024,NO-SORT BioRep1.TechRep1,inflorescence,Col-0,ap1; cal; pAP1::AP1:GR,--,PRJNA300452,8821410,0.7601,
GSM1921025,NO-SORT BioRep1.TechRep2,inflorescence,Col-0,ap1; cal; pAP1::AP1:GR,--,PRJNA300452,11234870,0.7518,
GSM1921026,NO-SORT BioRep2.TechRep1,inflorescence,Col-0,ap1; cal; pAP1::AP1:GR,--,PRJNA300452,10211770,0.7581,
GSM1921027,NO-SORT BioRep2.TechRep2,inflorescence,Col-0,ap1; cal; pAP1::AP1:GR,--,PRJNA300452,12770790,0.7599,
GSM1921028,NO-SORT BioRep3.TechRep1,inflorescence,Col-0,ap1; cal; pAP1::AP1:GR,--,PRJNA300452,10197878,0.7123,
GSM1921029,NO-SORT BioRep3.TechRep2,inflorescence,Col-0,ap1; cal; pAP1::AP1:GR,--,PRJNA300452,12802530,0.7141,
GSM1921030,NO-SORT BioRep4.TechRep1,inflorescence,Col-0,ap1; cal; pAP1::AP1:GR,--,PRJNA300452,9433241,0.7748,
GSM1921031,NO-SORT BioRep4.TechRep2,inflorescence,Col-0,ap1; cal; pAP1::AP1:GR,--,PRJNA300452,11814677,0.7771,
GSM1921032,ALL-SORT BioRep1.TechRep1,inflorescence,Col-0,ap1; cal; pAP1::AP1:GR,--,PRJNA300452,8316589,0.6978,
GSM1921033,ALL-SORT BioRep1.TechRep2,inflorescence,Col-0,ap1; cal; pAP1::AP1:GR,--,PRJNA300452,10656534,0.6849,
GSM1921034,ALL-SORT BioRep2.TechRep1,inflorescence,Col-0,ap1; cal; pAP1::AP1:GR,--,PRJNA300452,10088770,0.7132,
GSM1921035,ALL-SORT BioRep2.TechRep2,inflorescence,Col-0,ap1; cal; pAP1::AP1:GR,--,PRJNA300452,12703022,0.7127,
GSM1921036,ALL-SORT BioRep3.TechRep1,inflorescence,Col-0,ap1; cal; pAP1::AP1:GR,--,PRJNA300452,8463137,0.6921,
GSM1921037,ALL-SORT BioRep3.TechRep2,inflorescence,Col-0,ap1; cal; pAP1::AP1:GR,--,PRJNA300452,10710372,0.6873,
GSM1921038,ALL-SORT BioRep4.TechRep1,inflorescence,Col-0,ap1; cal; pAP1::AP1:GR,--,PRJNA300452,8671500,0.7192,
GSM1921039,ALL-SORT BioRep4.TechRep2,inflorescence,Col-0,ap1; cal; pAP1::AP1:GR,--,PRJNA300452,10886008,0.7189,
GSM1921616,Uncut_1,root,--,--,--,PRJNA300543,704812,0.7825,
GSM1921617,Uncut_2,root,--,--,--,PRJNA300543,101173,0.2725,
GSM1921618,Uncut_3,root,--,--,--,PRJNA300543,345609,0.1485,
GSM1921619,Uncut_4,root,--,--,--,PRJNA300543,1160566,0.8107,
GSM1921620,Uncut_5,root,--,--,--,PRJNA300543,378448,0.518,
GSM1921621,Uncut_6,root,--,--,--,PRJNA300543,2847619,0.5812,
GSM1921622,Uncut_7,root,--,--,--,PRJNA300543,1733229,0.6799,
GSM1921623,Uncut_8,root,--,--,--,PRJNA300543,3579382,0.1358,
GSM1921624,Uncut_9,root,--,--,--,PRJNA300543,1822568,0.1693,
GSM1921625,Uncut_10,root,--,--,--,PRJNA300543,305720,0.0551,
GSM1921626,Uncut_11,root,--,--,--,PRJNA300543,488133,0.7057,
GSM1921627,Uncut_12,root,--,--,--,PRJNA300543,3908021,0.7556,
GSM1921628,Uncut_13,root,--,--,--,PRJNA300543,1864977,0.641,
GSM1921629,Uncut_14,root,--,--,--,PRJNA300543,1465781,0.5109,
GSM1921630,Uncut_15,root,--,--,--,PRJNA300543,1698151,0.7617,
GSM1921631,Uncut_16,root,--,--,--,PRJNA300543,511732,0.7208,
GSM1921632,Uncut_17,root,--,--,--,PRJNA300543,1723095,0.65,
GSM1921633,Uncut_18,root,--,--,--,PRJNA300543,2385023,0.6405,
GSM1921634,Uncut_19,root,--,--,--,PRJNA300543,1525935,0.7107,
GSM1921635,Uncut_20,root,--,--,--,PRJNA300543,2238195,0.6034,
GSM1921636,Uncut_21,root,--,--,--,PRJNA300543,2371019,0.1488,
GSM1921637,Uncut_22,root,--,--,--,PRJNA300543,1966638,0.3392,
GSM1921638,Uncut_23,root,--,--,--,PRJNA300543,1086079,0.1043,
GSM1921639,Uncut_24,root,--,--,--,PRJNA300543,3468402,0.775,
GSM1921640,Uncut_25,root,--,--,--,PRJNA300543,2797882,0.7287,
GSM1921641,Uncut_26,root,--,--,--,PRJNA300543,2085633,0.7127,
GSM1921642,Uncut_27,root,--,--,--,PRJNA300543,1786109,0.1086,
GSM1921643,Uncut_28,root,--,--,--,PRJNA300543,985958,0.0429,
GSM1921644,Uncut_29,root,--,--,--,PRJNA300543,1424132,0.0414,
GSM1921645,Uncut_30,root,--,--,--,PRJNA300543,650562,0.1894,
GSM1921646,Uncut_31,root,--,--,--,PRJNA300543,1449600,0.8122,
GSM1921647,3h_1,root,--,--,--,PRJNA300543,1456371,0.801,
GSM1921648,3h_2,root,--,--,--,PRJNA300543,1215796,0.6439,
GSM1921649,3h_3,root,--,--,--,PRJNA300543,998312,0.5445,
GSM1921650,3h_4,root,--,--,--,PRJNA300543,1081795,0.5675,
GSM1921651,3h_5,root,--,--,--,PRJNA300543,630271,0.8193,
GSM1921652,3h_6,root,--,--,--,PRJNA300543,1635649,0.8113,
GSM1921653,3h_7,root,--,--,--,PRJNA300543,1053705,0.8383,
GSM1921654,3h_8,root,--,--,--,PRJNA300543,899123,0.7233,
GSM1921655,3h_9,root,--,--,--,PRJNA300543,1711260,0.7455,
GSM1921656,3h_10,root,--,--,--,PRJNA300543,3190095,0.756,
GSM1921657,3h_11,root,--,--,--,PRJNA300543,1025134,0.6456,
GSM1921658,3h_12,root,--,--,--,PRJNA300543,408084,0.7026,
GSM1921659,3h_13,root,--,--,--,PRJNA300543,1479623,0.8132,
GSM1921660,3h_14,root,--,--,--,PRJNA300543,2709282,0.6318,
GSM1921661,3h_15,root,--,--,--,PRJNA300543,1156081,0.7043,
GSM1921662,3h_16,root,--,--,--,PRJNA300543,1922790,0.5692,
GSM1921663,3h_17,root,--,--,--,PRJNA300543,1426158,0.7538,
GSM1921664,3h_18,root,--,--,--,PRJNA300543,309887,0.4008,
GSM1921665,3h_19,root,--,--,--,PRJNA300543,678909,0.0773,
GSM1921666,3h_20,root,--,--,--,PRJNA300543,507488,0.2176,
GSM1921667,3h_21,root,--,--,--,PRJNA300543,1866262,0.7817,
GSM1921668,3h_22,root,--,--,--,PRJNA300543,1210027,0.1509,
GSM1921669,3h_23,root,--,--,--,PRJNA300543,1442113,0.3589,
GSM1921670,3h_24,root,--,--,--,PRJNA300543,900796,0.4458,
GSM1921671,3h_25,root,--,--,--,PRJNA300543,1117559,0.4678,
GSM1921672,16h_1,root,--,--,--,PRJNA300543,2805984,0.7552,
GSM1921673,16h_2,root,--,--,--,PRJNA300543,4700425,0.0644,
GSM1921674,16h_3,root,--,--,--,PRJNA300543,824911,0.3521,
GSM1921675,16h_4,root,--,--,--,PRJNA300543,1244003,0.4982,
GSM1921676,16h_5,root,--,--,--,PRJNA300543,2945329,0.8027,
GSM1921677,16h_6,root,--,--,--,PRJNA300543,456688,0.1739,
GSM1921678,16h_7,root,--,--,--,PRJNA300543,2349994,0.7653,
GSM1921679,16h_8,root,--,--,--,PRJNA300543,3356969,0.7855,
GSM1921680,16h_9,root,--,--,--,PRJNA300543,4048573,0.1243,
GSM1921681,16h_10,root,--,--,--,PRJNA300543,1506026,0.1479,
GSM1921682,16h_11,root,--,--,--,PRJNA300543,2897896,0.076,
GSM1921683,16h_12,root,--,--,--,PRJNA300543,3217096,0.3196,
GSM1921684,16h_13,root,--,--,--,PRJNA300543,3171447,0.0913,
GSM1921685,16h_14,root,--,--,--,PRJNA300543,4073724,0.5856,
GSM1921686,16h_15,root,--,--,--,PRJNA300543,487409,0.8221,
GSM1921687,16h_16,root,--,--,--,PRJNA300543,1528347,0.7479,
GSM1921688,16h_17,root,--,--,--,PRJNA300543,1523722,0.6149,
GSM1921689,16h_18,root,--,--,--,PRJNA300543,911452,0.5089,
GSM1921690,16h_19,root,--,--,--,PRJNA300543,1852266,0.6973,
GSM1921691,16h_20,root,--,--,--,PRJNA300543,904786,0.283,
GSM1921692,16h_21,root,--,--,--,PRJNA300543,1979102,0.7475,
GSM1921693,16h_22,root,--,--,--,PRJNA300543,1528939,0.8355,
GSM1921694,16h_23,root,--,--,--,PRJNA300543,1419035,0.7932,
GSM1921695,16h_24,root,--,--,--,PRJNA300543,543701,0.4433,
GSM1921696,16h_25,root,--,--,--,PRJNA300543,2144957,0.8183,
GSM1921697,16h_26,root,--,--,--,PRJNA300543,288771,0.1428,
GSM1921698,16h_27,root,--,--,--,PRJNA300543,1074942,0.4839,
GSM1921699,46h_1,root,--,--,--,PRJNA300543,723007,0.6979,
GSM1921700,46h_2,root,--,--,--,PRJNA300543,908922,0.6749,
GSM1921701,46h_3,root,--,--,--,PRJNA300543,48808,0.562,
GSM1921702,46h_4,root,--,--,--,PRJNA300543,734052,0.6782,
GSM1921703,46h_5,root,--,--,--,PRJNA300543,882909,0.4551,
GSM1921704,46h_6,root,--,--,--,PRJNA300543,1365023,0.0354,
GSM1921705,46h_7,root,--,--,--,PRJNA300543,1752803,0.0079,
GSM1921706,46h_8,root,--,--,--,PRJNA300543,1606048,0.6873,
GSM1921707,46h_9,root,--,--,--,PRJNA300543,1767715,0.7014,
GSM1921708,46h_10,root,--,--,--,PRJNA300543,637761,0.5483,
GSM1921709,46h_11,root,--,--,--,PRJNA300543,1371708,0.7487,
GSM1921710,46h_12,root,--,--,--,PRJNA300543,1678138,0.7577,
GSM1921711,46h_13,root,--,--,--,PRJNA300543,2114462,0.5614,
GSM1921712,46h_14,root,--,--,--,PRJNA300543,1168414,0.5607,
GSM1921713,46h_15,root,--,--,--,PRJNA300543,611345,0.6431,
GSM1921714,46h_16,root,--,--,--,PRJNA300543,422155,0.1447,
GSM1921715,46h_17,root,--,--,--,PRJNA300543,2663232,0.6267,
GSM1921716,46h_18,root,--,--,--,PRJNA300543,3008846,0.2018,
GSM1921717,46h_19,root,--,--,--,PRJNA300543,2914019,0.6911,
GSM1921718,46h_20,root,--,--,--,PRJNA300543,2954398,0.6785,
GSM1921719,46h_21,root,--,--,--,PRJNA300543,2783801,0.7218,
GSM1921720,46h_22,root,--,--,--,PRJNA300543,2876316,0.6985,
GSM1921721,46h_23,root,--,--,--,PRJNA300543,2090076,0.0395,
GSM1921722,46h_24,root,--,--,--,PRJNA300543,2547796,0.6883,
GSM1921723,46h_25,root,--,--,--,PRJNA300543,1074118,0.6763,
GSM1921724,46h_26,root,--,--,--,PRJNA300543,95739,0.396,
GSM1921725,46h_27,root,--,--,--,PRJNA300543,54670,0.6285,
GSM1921726,46h_28,root,--,--,--,PRJNA300543,891890,0.1411,
GSM1921727,46h_29,root,--,--,--,PRJNA300543,3417697,0.4496,
GSM1921728,46h_30,root,--,--,--,PRJNA300543,3034414,0.5221,
GSM1921729,46h_31,root,--,--,--,PRJNA300543,2483377,0.6896,
GSM1921730,46h_32,root,--,--,--,PRJNA300543,2418677,0.0045,
GSM1921731,46h_33,root,--,--,--,PRJNA300543,2522127,0.1235,
GSM1921732,46h_34,root,--,--,--,PRJNA300543,2810092,0.6361,
GSM1921733,46h_35,root,--,--,--,PRJNA300543,805594,0.6169,
GSM1921734,46h_36,root,--,--,--,PRJNA300543,1308865,0.1158,
GSM1921735,46h_37,root,--,--,--,PRJNA300543,1567770,0.5025,
GSM1921736,46h_38,root,--,--,--,PRJNA300543,1797363,0.3249,
GSM1921737,46h_39,root,--,--,--,PRJNA300543,2544080,0.5008,
GSM1921738,46h_40,root,--,--,--,PRJNA300543,2415919,0.4635,
GSM1921739,46h_41,root,--,--,--,PRJNA300543,1838650,0.2133,
GSM1921740,46h_42,root,--,--,--,PRJNA300543,2448058,0.6326,
GSM1921741,46h_43,root,--,--,--,PRJNA300543,2449065,0.6162,
GSM1921742,46h_44,root,--,--,--,PRJNA300543,1609239,0.5847,
GSM1921743,46h_45,root,--,--,--,PRJNA300543,1710343,0.7352,
GSM1921744,46h_46,root,--,--,--,PRJNA300543,1600855,0.7611,
GSM1921745,46h_47,root,--,--,--,PRJNA300543,2048076,0.0562,
GSM1921746,46h_48,root,--,--,--,PRJNA300543,3233842,0.6916,
GSM1921747,46h_49,root,--,--,--,PRJNA300543,1764939,0.051,
GSM1921748,46h_50,root,--,--,--,PRJNA300543,2515803,0.7303,
GSM1921749,46h_51,root,--,--,--,PRJNA300543,2392798,0.5335,
GSM1921750,46h_52,root,--,--,--,PRJNA300543,3163405,0.6549,
GSM1921751,46h_53,root,--,--,--,PRJNA300543,1642805,0.5185,
GSM1921752,46h_54,root,--,--,--,PRJNA300543,2521172,0.4657,
GSM1921753,46h_55,root,--,--,--,PRJNA300543,313981,0.557,
GSM1921754,46h_56,root,--,--,--,PRJNA300543,930552,0.5206,
GSM1921755,46h_57,root,--,--,--,PRJNA300543,2444475,0.6557,
GSM1921756,46h_58,root,--,--,--,PRJNA300543,2491826,0.6738,
GSM1921757,46h_59,root,--,--,--,PRJNA300543,2300772,0.5966,
GSM1921758,46h_60,root,--,--,--,PRJNA300543,1940545,0.5306,
GSM1921759,46h_61,root,--,--,--,PRJNA300543,2013353,0.6257,
GSM1921760,46h_62,root,--,--,--,PRJNA300543,1747691,0.6538,
GSM1921761,46h_63,root,--,--,--,PRJNA300543,511201,0.0477,
GSM1921762,46h_64,root,--,--,--,PRJNA300543,2432657,0.023,
GSM1921763,46h_65,root,--,--,--,PRJNA300543,1527748,0.0185,
GSM1921764,46h_66,root,--,--,--,PRJNA300543,1809642,0.7163,
GSM1921765,46h_67,root,--,--,--,PRJNA300543,583038,0.4239,
GSM1921766,46h_68,root,--,--,--,PRJNA300543,787874,0.6934,
GSM1921767,46h_69,root,--,--,--,PRJNA300543,1551057,0.7139,
GSM1921768,46h_70,root,--,--,--,PRJNA300543,979148,0.6914,
GSM1921769,46h_71,root,--,--,--,PRJNA300543,1973320,0.2221,
GSM1921770,46h_72,root,--,--,--,PRJNA300543,1575832,0.6639,
GSM1921771,46h_73,root,--,--,--,PRJNA300543,2189977,0.7498,
GSM1921772,46h_74,root,--,--,--,PRJNA300543,957984,0.1437,
GSM1921773,46h_75,root,--,--,--,PRJNA300543,736226,0.4139,
GSM1921774,46h_76,root,--,--,--,PRJNA300543,664514,0.729,
GSM1921775,46h_77,root,--,--,--,PRJNA300543,524703,0.8083,
GSM1922727,Col_RNA_rep1,seedlings,Col-0,Col-0,--,PRJNA300685,26144097,0.9546,
GSM1922728,Col_RNA_rep2,seedlings,Col-0,Col-0,--,PRJNA300685,22362401,0.9323,
GSM1922729,Col_RNA_rep3,seedlings,Col-0,Col-0,--,PRJNA300685,21499150,0.957,
GSM1922730,ColXC24_RNA_rep1,seedlings,ColXC24,ColXC24,--,PRJNA300685,26802515,0.9445,
GSM1922731,ColXC24_RNA_rep2,seedlings,ColXC24,ColXC24,--,PRJNA300685,22959317,0.9102,
GSM1922732,ColXC24_RNA_rep3,seedlings,ColXC24,ColXC24,--,PRJNA300685,21851988,0.9365,
GSM1922733,C24XCol_RNA_rep1,seedlings,C24XCol,C24XCol,--,PRJNA300685,25600797,0.9387,
GSM1922734,C24XCol_RNA_rep2,seedlings,C24XCol,C24XCol,--,PRJNA300685,23941108,0.9247,
GSM1922735,C24XCol_RNA_rep3,seedlings,C24XCol,C24XCol,--,PRJNA300685,24058124,0.9361,
GSM1922736,C24_RNA_rep1,seedlings,C24,C24,--,PRJNA300685,25656835,0.9199,
GSM1922737,C24_RNA_rep2,seedlings,C24,C24,--,PRJNA300685,25235876,0.907,
GSM1922738,C24_RNA_rep3,seedlings,C24,C24,--,PRJNA300685,22551955,0.9145,
GSM1922739,ddm1Col_RNA_rep1,seedlings,Col-0,ddm1Col,--,PRJNA300685,27441420,0.9497,
GSM1922740,ddm1Col_RNA_rep2,seedlings,Col-0,ddm1Col,--,PRJNA300685,23301355,0.9418,
GSM1922741,ddm1Col_RNA_rep3,seedlings,Col-0,ddm1Col,--,PRJNA300685,22151426,0.9523,
GSM1922742,ddm1ColXddm1C24_RNA_rep1,seedlings,Col XC24,ddm1ColXddm1C24,--,PRJNA300685,27561865,0.9234,
GSM1922743,ddm1ColXddm1C24_RNA_rep2,seedlings,Col XC24,ddm1ColXddm1C24,--,PRJNA300685,24797527,0.9177,
GSM1922744,ddm1ColXddm1C24_RNA_rep3,seedlings,Col XC24,ddm1ColXddm1C24,--,PRJNA300685,20729084,0.9216,
GSM1922745,ddm1C24Xddm1Col_RNA_rep1,seedlings,C24XCol,ddm1C24Xddm1Col,--,PRJNA300685,25974500,0.9293,
GSM1922746,ddm1C24Xddm1Col_RNA_rep2,seedlings,C24XCol,ddm1C24Xddm1Col,--,PRJNA300685,22017266,0.9061,
GSM1922747,ddm1C24Xddm1Col_RNA_rep3,seedlings,C24XCol,ddm1C24Xddm1Col,--,PRJNA300685,18506777,0.9062,
GSM1922748,ddm1C24_RNA_rep1,seedlings,C24,ddm1C24,--,PRJNA300685,27119762,0.89,
GSM1922749,ddm1C24_RNA_rep2,seedlings,C24,ddm1C24,--,PRJNA300685,22582444,0.8716,
GSM1922750,ddm1C24_RNA_rep3,seedlings,C24,ddm1C24,--,PRJNA300685,21085209,0.8572,
GSM1923395,DM,rosette leaf,pER8,--,estradiol,PRJNA300877,76166844,0.6689,
GSM1923396,ER,rosette leaf,pER8,--,control,PRJNA300877,63496749,0.6689,
GSM1923397,EXP2D,rosette leaf,Col-0,--,2 d wounding,PRJNA300876,67973490,0.9523,
GSM1923398,MOT2D,rosette leaf,Col-0,--,2 d control,PRJNA300876,65524649,0.9506,
GSM1923399,T0,rosette leaf,Col-0,--,control,PRJNA300876,72683053,0.9495,
GSM1930276,7-day-old wild type rep. 1,embryo,Col-0,wild type,--,PRJNA301162,21527590,0.9058,
GSM1930277,7-day-old wild type rep. 2,embryo,Col-0,wild type,--,PRJNA301162,19866194,0.9551,
GSM1930278,7-day-old wild type rep. 3,embryo,Col-0,wild type,--,PRJNA301162,23357079,0.9409,
GSM1930279,8-day-old wild type rep. 1,embryo,Col-0,wild type,--,PRJNA301162,56168252,0.8893,
GSM1930280,8-day-old wild type rep. 2,embryo,Col-0,wild type,--,PRJNA301162,18415720,0.9394,
GSM1930281,8-day-old wild type rep. 3,embryo,Col-0,wild type,--,PRJNA301162,16620222,0.9412,
GSM1930282,10-day-old wild type rep. 1,embryo,Col-0,wild type,--,PRJNA301162,33685990,0.9506,
GSM1930283,10-day-old wild type rep. 2,embryo,Col-0,wild type,--,PRJNA301162,20235918,0.952,
GSM1930284,10-day-old wild type rep. 3,embryo,Col-0,wild type,--,PRJNA301162,29635684,0.9508,
GSM1930285,12-day-old wild type rep. 1,embryo,Col-0,wild type,--,PRJNA301162,24951200,0.903,
GSM1930286,12-day-old wild type rep. 2,embryo,Col-0,wild type,--,PRJNA301162,31605640,0.957,
